pollster,date,seats
Find Out Now,02/07/2025,"{'Reform UK': 309, 'Labour': 182, 'Conservative': 32, 'Liberal Democrats': 79, 'SNP': 25, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
YouGov,30/06/2025,"{'Reform UK': 211, 'Labour': 254, 'Conservative': 58, 'Liberal Democrats': 82, 'SNP': 22, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
More in Common,30/06/2025,"{'Reform UK': 262, 'Labour': 217, 'Conservative': 52, 'Liberal Democrats': 76, 'SNP': 21, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
Lord Ashcroft Polls*,30/06/2025,"{'Reform UK': 217, 'Labour': 203, 'Conservative': 109, 'Liberal Democrats': 72, 'SNP': 24, 'Others': 14, 'Green': 7, 'Plaid Cymru': 4}"
More in Common,30/06/2025,"{'Reform UK': 247, 'Labour': 201, 'Conservative': 91, 'Liberal Democrats': 78, 'SNP': 24, 'Others': 0, 'Green': 5, 'Plaid Cymru': 4}"
Survation,27/06/2025,"{'Reform UK': 199, 'Labour': 291, 'Conservative': 77, 'Liberal Democrats': 78, 'SNP': 0, 'Others': 0, 'Green': 5, 'Plaid Cymru': 0}"
Opinium,29/06/2025,"{'Reform UK': 281, 'Labour': 223, 'Conservative': 34, 'Liberal Democrats': 75, 'SNP': 15, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
BMG Research,28/06/2025,"{'Reform UK': 243, 'Labour': 252, 'Conservative': 46, 'Liberal Democrats': 75, 'SNP': 12, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
Techne,26/06/2025,"{'Reform UK': 263, 'Labour': 216, 'Conservative': 50, 'Liberal Democrats': 81, 'SNP': 22, 'Others': 14, 'Green': 4, 'Plaid Cymru': 0}"
Find Out Now,26/06/2025,"{'Reform UK': 304, 'Labour': 181, 'Conservative': 42, 'Liberal Democrats': 76, 'SNP': 24, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
YouGov,24/06/2025,"{'Reform UK': 246, 'Labour': 229, 'Conservative': 48, 'Liberal Democrats': 81, 'SNP': 23, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
Ipsos,21/06/2025,"{'Reform UK': 359, 'Labour': 188, 'Conservative': 12, 'Liberal Democrats': 73, 'SNP': 0, 'Others': 14, 'Green': 4, 'Plaid Cymru': 0}"
Find Out Now,18/06/2025,"{'Reform UK': 318, 'Labour': 184, 'Conservative': 28, 'Liberal Democrats': 75, 'SNP': 23, 'Others': 13, 'Green': 5, 'Plaid Cymru': 4}"
YouGov,16/06/2025,"{'Reform UK': 233, 'Labour': 242, 'Conservative': 48, 'Liberal Democrats': 81, 'SNP': 23, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
Find Out Now,16/06/2025,"{'Reform UK': 273, 'Labour': 176, 'Conservative': 98, 'Liberal Democrats': 73, 'SNP': 24, 'Others': 0, 'Green': 6, 'Plaid Cymru': 0}"
Opinium,13/06/2025,"{'Reform UK': 285, 'Labour': 206, 'Conservative': 41, 'Liberal Democrats': 75, 'SNP': 21, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
